5000_q1,10000_q1,25000_q1,50000_q1,5000_q2,10000_q2,25000_q2,50000_q2,5000_q3,10000_q3,25000_q3,50000_q3,5000_q4,10000_q4,25000_q4,50000_q4,5000_q5,10000_q5,25000_q5,50000_q5
9.87E-05,5.39E-05,2.12E-05,9.70E-06,0.000121255,5.32E-05,2.00E-05,9.05E-06,2.26E-05,2.59E-05,2.06E-05,9.04E-06,1.07E-05,3.13E-05,1.42E-05,9.44E-06,1.67E-06,2.05E-06,2.51E-06,9.01E-06
9.39E-05,4.87E-05,2.10E-05,9.92E-06,8.62E-05,5.04E-05,2.08E-05,9.48E-06,2.59E-05,1.41E-05,3.28E-05,1.59E-05,1.02E-05,1.98E-05,8.87E-06,7.03E-06,2.50E-06,1.18E-06,3.30E-06,2.88E-06
1.01E-04,5.41E-05,2.05E-05,1.02E-05,0.0001152,5.18E-05,2.12E-05,9.51E-06,8.47E-05,3.76E-05,1.55E-05,8.49E-06,0.000123228,1.50E-05,9.28E-06,9.62E-06,3.92E-06,1.46E-05,2.29E-06,1.38E-06
9.56E-05,5.01E-05,1.94E-05,9.68E-06,9.94E-05,5.45E-05,2.08E-05,9.72E-06,4.02E-05,2.63E-05,1.10E-05,1.26E-05,6.50E-06,1.81E-05,5.03E-05,1.09E-05,2.65E-06,3.20E-06,1.20E-06,2.19E-07
9.78E-05,4.82E-05,2.07E-05,9.19E-06,8.02E-05,5.22E-05,1.88E-05,9.61E-06,4.16E-05,3.49E-05,2.24E-05,1.08E-05,2.19E-05,2.67E-05,1.22E-05,1.09E-05,3.28E-06,1.66E-06,2.28E-06,3.78E-07
9.44E-05,5.28E-05,2.12E-05,9.42E-06,0.000110953,5.57E-05,2.14E-05,1.01E-05,7.55E-05,1.80E-05,1.66E-05,8.20E-06,2.64E-05,9.17E-06,1.04E-05,9.30E-06,1.94E-06,1.07E-06,2.05E-06,4.23E-07
9.46E-05,4.95E-05,1.95E-05,1.06E-05,8.92E-05,5.42E-05,1.90E-05,9.33E-06,3.15E-05,2.01E-05,1.54E-05,9.03E-06,7.37E-06,9.59E-06,7.23E-06,8.29E-06,4.16E-06,5.34E-06,8.32E-06,6.00E-07
1.01E-04,4.99E-05,2.07E-05,9.54E-06,8.65E-05,4.12E-05,2.14E-05,9.59E-06,0.000103761,4.25E-05,1.71E-05,1.15E-05,1.59E-05,3.88E-05,9.12E-06,7.96E-06,1.91E-06,3.06E-06,2.33E-06,2.96E-06
9.88E-05,4.82E-05,2.05E-05,9.73E-06,7.64E-05,4.86E-05,1.83E-05,8.61E-06,3.05E-05,1.97E-05,2.14E-05,8.99E-06,3.45E-05,1.24E-05,1.39E-05,4.59E-06,1.24E-05,2.06E-06,2.62E-06,1.04E-06
1.34E-04,4.57E-05,1.95E-05,9.88E-06,9.68E-05,4.62E-05,1.95E-05,1.02E-05,1.98E-05,4.03E-05,1.48E-05,1.18E-05,2.63E-05,1.94E-05,8.00E-06,5.31E-06,1.06E-06,1.97E-06,9.79E-07,3.04E-06
