SPR,SPQ,s,Pq,Pr,l,m,median_total_cells,median_resistant_cells,median_transient_cells,median_total_resistant_cells,resistant_fraction,total_resistant_fraction,primary_metric,final_state,num_replicates,replicate_1_primary_metric,replicate_2_primary_metric,replicate_3_primary_metric,replicate_4_primary_metric,replicate_5_primary_metric,replicate_6_primary_metric,replicate_7_primary_metric,replicate_8_primary_metric,replicate_9_primary_metric,replicate_10_primary_metric
2.5,11.25,0.1,1.3007297654067621e-06,0.00820849986238988,1.3007297654067621e-06,5.714285714285714e-07,4224089591.0,1177842716.5,118230.0,1177960946.5,0.27883942589890964,0.27886741536207155,0.27886741536207155,relapsed,10,0.15995729698091146,0.28985372804351367,0.18523150456259316,0.2844753309118606,0.2787473011248149,0.28381519764068724,0.28555055469144136,0.28352935825130277,0.281067153574546,0.28643173995976173
2.5,11.5,0.1,1.0130093598630711e-06,0.00820849986238988,1.0130093598630711e-06,5.714285714285714e-07,4177932100.5,1184720188.5,86379.0,1184806567.5,0.28356616622807657,0.2835868412888296,0.2835868412888296,relapsed,10,0.2862052129301437,0.2889584685282701,0.27460376331966674,0.22750115609211535,0.2893043713412128,0.16056468206227514,0.28957589769002956,0.28896734825976494,0.281662896730688,0.27810374335810684
2.5,11.75,0.1,7.889324827200224e-07,0.00820849986238988,7.889324827200224e-07,5.714285714285714e-07,4159246365.5,1169070883.5,66413.0,1169137296.5,0.28107757530238564,0.2810935428585638,0.2810935428585638,relapsed,10,0.2875644634512532,0.28890072291295504,0.2804218118869234,0.2817641265131415,0.2895997226870215,0.29005287958863435,0.2780190070168061,0.2772788019117946,0.28868765180046285,0.17097416650053784
2.5,12.0,0.1,6.14421235332821e-07,0.00820849986238988,6.14421235332821e-07,5.714285714285714e-07,4159505251.5,1143484056.0,53268.0,1143537324.0,0.2749086698682823,0.27492147619903057,0.27492147619903057,relapsed,10,0.2895771409989732,0.25609469508920457,0.2815073762283301,0.290655675285845,0.22079891347379518,0.21730245449472638,0.28449251424320404,0.28890230356231966,0.28904938278867753,0.25865212191315834
2.5,12.25,0.1,4.78511739212901e-07,0.00820849986238988,4.78511739212901e-07,5.714285714285714e-07,4197727599.5,1165466906.5,41240.5,1165508147.0,0.2776423383544042,0.2776521628365847,0.2776521628365847,relapsed,10,0.27317753070543116,0.28624457623891963,0.276784481786885,0.2754122178534049,0.2692674365255036,0.2778645602509039,0.19210294795467972,0.2888685560217056,0.28606570835291967,0.23440309683596805
2.5,12.5,0.1,3.726653172078671e-07,0.00820849986238988,3.726653172078671e-07,5.714285714285714e-07,4163285696.0,1182066600.5,33382.5,1182099983.0,0.28392637133591514,0.28393438964223316,0.28393438964223316,relapsed,10,0.17105532504009735,0.26088640817729497,0.28572227865288397,0.2901748065692586,0.160668656060183,0.28950307889333804,0.2907002568619618,0.2902297058930052,0.28727417732274413,0.2890017378219839
2.5,12.75,0.1,2.902320408650404e-07,0.00820849986238988,2.902320408650404e-07,5.714285714285714e-07,4147407833.5,1171881984.5,24873.0,1171906857.5,0.28255769182724627,0.2825636890672088,0.2825636890672088,relapsed,10,0.28841703239737265,0.28781527095783066,0.2820197006895033,0.20734645200973217,0.2762950208493618,0.28426664277765756,0.27323533556664453,0.27507008511342235,0.2845767239810281,0.28869815034546936
2.5,13.0,0.1,2.2603294069810546e-07,0.00820849986238988,2.2603294069810546e-07,5.714285714285714e-07,4136061081.0,1174678599.5,19237.5,1174697837.0,0.28400900675673557,0.284013657921122,0.284013657921122,relapsed,10,0.1499592545345072,0.23717319955928953,0.2158140499207855,0.2844019881188001,0.28963654712773657,0.1972273029948872,0.29036541157695733,0.29002374892479915,0.2903989844222348,0.2845078900807282
2.5,13.25,0.1,1.7603463121561693e-07,0.00820849986238988,1.7603463121561693e-07,5.714285714285714e-07,4056664690.0,1141913270.5,14306.0,1141927576.5,0.28149067220539736,0.2814941987477895,0.2814941987477895,relapsed,10,0.28736139607360867,0.2882243533699677,0.2775527667490023,0.28269675641811326,0.2870606103421933,0.2329681617355284,0.1509108582814423,0.2872479457472932,0.27317256319233174,0.27998903327653824
2.5,13.5,0.1,1.3709590863840845e-07,0.00820849986238988,1.3709590863840845e-07,5.714285714285714e-07,4117303893.5,1136337235.5,11507.0,1136348742.5,0.27599061543500325,0.2759934102250643,0.2759934102250643,relapsed,10,0.25071205429690885,0.2900572143865691,0.2783630369692534,0.2844429660598209,0.2938584008392088,0.2750468328859454,0.21542751971549698,0.1587205704714836,0.26869329130740083,0.2887501052237631
