condition_index,replicate_number,final_generation,final_state,initial_size,s,m,q,r,l,idle,final_total_cells,final_sensitive,final_transient,final_resistant,final_n_clones,fraction_sensitive,fraction_transient,fraction_resistant,treatment_schedule,drug_type,doses_given,treatment_active_at_end,total_cell_events,total_driver_mutations,mutation_rate
2,31,291,relapsed,1000,0.06848784292355799,9.475142670452575e-07,1.1232168515525427e-09,0.00012523986049887384,8.921478759546227e-05,0.2984045685973956,4216452684,4155257375,94,61195215,15917,0.9854865419853481,2.229362145025318e-08,0.014513435721030374,off,abs,0,False,55920014200,36646,6.553288750774315e-07
2,32,323,relapsed,1000,0.06848784292355799,9.475142670452575e-07,1.1232168515525427e-09,0.00012523986049887384,8.921478759546227e-05,0.2984045685973956,4142342825,4063216892,258,79125675,18566,0.9808982654640613,6.228359430873518e-08,0.0191016722523443,off,abs,0,False,76923653485,49616,6.450031655045485e-07
2,33,319,relapsed,1000,0.06848784292355799,9.475142670452575e-07,1.1232168515525427e-09,0.00012523986049887384,8.921478759546227e-05,0.2984045685973956,4084150905,3977732757,141,106418007,17369,0.9739436297836797,3.45236998533481e-08,0.026056335692620544,off,abs,0,False,71605459444,45506,6.355102020620169e-07
2,34,318,relapsed,1000,0.06848784292355799,9.475142670452575e-07,1.1232168515525427e-09,0.00012523986049887384,8.921478759546227e-05,0.2984045685973956,4220125627,4114194398,215,105931014,18645,0.9748985602887599,5.0946350654693435e-08,0.025101388764889487,off,abs,0,False,77436882977,49534,6.396693422527402e-07
2,35,320,relapsed,1000,0.06848784292355799,9.475142670452575e-07,1.1232168515525427e-09,0.00012523986049887384,8.921478759546227e-05,0.2984045685973956,4110924623,3595871780,84,515052759,18558,0.8747111926795356,2.0433359329926103e-08,0.12528878688710512,off,abs,0,False,79227772780,50272,6.345249681522097e-07
2,36,306,relapsed,1000,0.06848784292355799,9.475142670452575e-07,1.1232168515525427e-09,0.00012523986049887384,8.921478759546227e-05,0.2984045685973956,4099370029,4020482698,83,78887248,16609,0.9807562307276653,2.0247013422266498e-08,0.019243749025321277,off,abs,0,False,63586743870,41152,6.471789164756298e-07
2,37,320,relapsed,1000,0.06848784292355799,9.475142670452575e-07,1.1232168515525427e-09,0.00012523986049887384,8.921478759546227e-05,0.2984045685973956,4027441432,3947015887,246,80425299,18508,0.980030610908211,6.108096272869649e-08,0.019969328010826303,off,abs,0,False,80902032995,51094,6.315539685283035e-07
2,38,321,relapsed,1000,0.06848784292355799,9.475142670452575e-07,1.1232168515525427e-09,0.00012523986049887384,8.921478759546227e-05,0.2984045685973956,4184922139,4090949776,1602,93970761,19826,0.9775450152048815,3.828028208866038e-07,0.022454601992297665,off,abs,0,False,85673090116,54668,6.381000139714863e-07
2,39,313,relapsed,1000,0.06848784292355799,9.475142670452575e-07,1.1232168515525427e-09,0.00012523986049887384,8.921478759546227e-05,0.2984045685973956,4255005743,4162130979,50,92874714,18361,0.9781728228797834,1.1750865455882417e-08,0.021827165369351184,off,abs,0,False,72309704243,46617,6.446852533560569e-07
2,40,321,relapsed,1000,0.06848784292355799,9.475142670452575e-07,1.1232168515525427e-09,0.00012523986049887384,8.921478759546227e-05,0.2984045685973956,4086790550,3960839123,920571,125030856,18741,0.9691808460798168,0.000225255243384078,0.030593898676799083,off,abs,0,False,80088870039,51049,6.374044230508088e-07
2,41,248,relapsed,1000,0.06848784292355799,9.475142670452575e-07,1.1232168515525427e-09,0.00012523986049887384,8.921478759546227e-05,0.2984045685973956,4206650665,4148232042,316,58418307,14470,0.9861127943220833,7.51191446984581e-08,0.013887130558771986,off,abs,0,False,46421686815,30364,6.540908373495088e-07
2,42,325,relapsed,1000,0.06848784292355799,9.475142670452575e-07,1.1232168515525427e-09,0.00012523986049887384,8.921478759546227e-05,0.2984045685973956,4126365125,4020018158,2225,106344742,19485,0.9742274462442293,5.392154917458983e-07,0.025772014540278956,off,abs,0,False,84558422719,54191,6.408705159991526e-07
