K,Id,Parent,ParentType,N,Ns,Nr,Nq,T
13888,105897,0,S,4149,4149,0,0,15721
13889,106016,235,S,18725,18725,0,0,15721
13890,106146,1337,S,15179,15179,0,0,15721
13892,106345,642,S,13105,13105,0,0,15721
13894,106531,0,S,6916,6916,0,0,15721
13898,106920,0,S,9294,9294,0,0,15721
13898,106977,235,S,136902,136902,0,0,15721
13898,106993,455,S,10403,10403,0,0,15721
13899,107044,0,S,4555,4555,0,0,15721
13902,107436,235,S,10500,10500,0,0,15721
13906,107856,0,S,8322,8322,0,0,15721
13907,107948,0,S,7671,7671,0,0,15721
13907,108031,235,S,22733,22733,0,0,15721
13909,108233,642,S,13125,13125,0,0,15721
13910,108279,0,S,8601,8601,0,0,15721
13911,108402,0,S,708,708,0,0,15721
13911,108459,235,S,11721,11721,0,0,15721
13916,109026,681,S,18263,18263,0,0,15721
13921,109530,0,S,5580,5580,0,0,15721
13922,109615,0,S,8096,8096,0,0,15721
13923,109781,4241,S,12881,12881,0,0,15721
13924,109893,751,S,28984,28984,0,0,15721
13925,109905,0,S,23648,23648,0,0,15721
13925,109994,235,S,22101,22101,0,0,15721
13926,110095,0,S,645,645,0,0,15721
13928,110331,0,S,1058,1058,0,0,15721
13929,110389,0,S,2371,2371,0,0,15721
13930,110554,0,S,8773,8773,0,0,15721
13932,110801,235,S,27595,27595,0,0,15721
13933,110848,0,S,7180,7180,0,0,15721
13934,110993,0,S,2795,2795,0,0,15721
13934,111044,4241,S,7796,7796,0,0,15721
13937,111382,235,S,18526,18526,0,0,15721
13938,111440,0,S,897,897,0,0,15721
13939,111578,0,S,8505,8505,0,0,15721
13943,112028,0,S,208,208,0,0,15721
13945,112231,0,S,194,194,0,0,15721
13948,112550,0,S,522,522,0,0,15721
13949,112674,0,S,1077,1077,0,0,15721
13949,112757,235,S,14216,14216,0,0,15721
13952,113006,0,S,8450,8450,0,0,15721
13953,113133,0,S,17578,17578,0,0,15721
13955,113332,0,S,2918,2918,0,0,15721
13955,113433,4241,S,181485,181485,0,0,15721
13959,113872,0,S,19548,19548,0,0,15721
13962,114250,235,S,30852,30852,0,0,15721
13967,114785,0,S,5386,5386,0,0,15721
13972,115476,681,S,20332,20332,0,0,15721
13973,115504,0,S,6072,6072,0,0,15721
13979,116233,235,S,5291,5291,0,0,15721
13982,116512,0,S,1704,1704,0,0,15721
13983,116736,3279,S,4514,4514,0,0,15721
13989,117487,4241,S,20365,20365,0,0,15721
13995,118116,0,S,2664,2664,0,0,15721
13996,118341,642,S,6215,6215,0,0,15721
13997,118364,0,S,8878,8878,0,0,15721
13997,118394,0,S,3537,3537,0,0,15721
13997,118422,0,S,283,283,0,0,15721
13998,118541,0,S,516,516,0,0,15721
14002,119068,0,S,941,941,0,0,15721
14003,119137,0,S,888,888,0,0,15721
14004,119333,235,S,6888,6888,0,0,15721
14004,119345,642,S,48376,48376,0,0,15721
14006,119509,0,S,229,229,0,0,15721
14006,119562,1313,S,5867,5867,0,0,15721
14008,119675,0,S,2756,2756,0,0,15721
14013,120362,235,S,3171,3171,0,0,15721
14019,121110,642,S,26511,26511,0,0,15721
14021,121326,0,S,251,251,0,0,15721
14022,121467,235,S,47206,47206,0,0,15721
